fips,state,county,year,tot_pop,tot_male,tot_female,nh_male,nh_female,h_male,h_female,wa_male,wa_female,ba_male,ba_female,ia_male,ia_female,aa_male,aa_female,na_male,na_female,tom_male,tom_female,nhwa_male,nhwa_female,nhba_male,nhba_female,nhia_male,nhia_female,nhaa_male,nhaa_female,nhna_male,nhna_female,nhtom_male,nhtom_female,hwa_male,hwa_female,hba_male,hba_female,hia_male,hia_female,haa_male,haa_female,hna_male,hna_female,htom_male,htom_female,cx,cy
08043,08,043,2010,46837,27034,19803,22857,18131,4177,1672,24092,19018,1789,58,604,232,166,135,19,27,364,333,20152,17519,1749,46,501,156,148,118,9,20,298,272,3940,1499,40,12,103,76,18,17,10,7,66,61,401.7499742,376.1577309
08045,08,045,2010,56139,29007,27132,20557,19672,8450,7460,27385,25689,322,199,495,442,167,229,41,44,597,529,19726,18912,144,71,154,122,131,188,19,18,383,361,7659,6777,178,128,341,320,36,41,22,26,214,168,350.8369128,337.2172495
08047,08,047,2010,5478,2899,2579,2755,2440,144,139,2777,2457,15,8,26,23,28,48,7,3,46,40,2647,2333,15,8,17,14,27,47,6,3,43,35,130,124,0,0,9,9,1,1,1,0,3,5,403.903611,335.7190184
08049,08,049,2010,14796,7893,6903,7309,6359,584,544,7648,6624,48,33,49,57,51,71,3,4,94,114,7122,6158,36,23,27,30,46,62,3,3,75,83,526,466,12,10,22,27,5,9,0,1,19,31,391.7271176,327.0875367
08051,08,051,2010,15312,8291,7021,7613,6439,678,582,7907,6656,51,27,177,156,35,55,3,1,118,126,7408,6243,45,18,35,29,33,49,3,1,89,99,499,413,6,9,142,127,2,6,0,0,29,27,366.7123422,366.7614879
08053,08,053,2010,847,446,401,423,383,23,18,418,373,3,0,12,6,2,7,0,0,11,15,401,359,3,0,7,3,1,7,0,0,11,14,17,14,0,0,5,3,1,0,0,0,0,1,357.9102649,390.5358333
08055,08,055,2010,6667,3300,3367,2135,2260,1165,1107,2998,3043,35,35,139,129,31,30,8,16,89,114,2003,2105,28,20,31,29,11,18,6,14,56,74,995,938,7,15,108,100,20,12,2,2,33,40,410.375191,400.0384541
08057,08,057,2010,1390,725,665,652,614,73,51,675,611,11,4,18,15,1,10,0,0,20,25,612,569,11,4,12,7,1,10,0,0,16,24,63,42,0,0,6,8,0,0,0,0,4,1,388.6377692,310.3263997
08059,08,059,2010,535533,265850,269683,227786,230731,38064,38952,246319,250036,3673,2584,3099,3127,6646,7873,291,248,5822,5815,212763,215634,3027,2007,1348,1296,6316,7511,195,168,4137,4115,33556,34402,646,577,1751,1831,330,362,96,80,1685,1700,409.2000196,344.2082786
08061,08,061,2010,1399,693,706,647,673,46,33,662,681,6,0,10,7,2,3,0,0,13,15,626,651,5,0,4,5,2,3,0,0,10,14,36,30,1,0,6,2,0,0,0,0,3,1,462.1230568,382.4806764
08063,08,063,2010,8276,4640,3636,3653,3059,987,577,4295,3524,219,7,53,31,17,25,3,3,53,46,3347,2970,211,7,39,16,15,25,1,1,40,40,948,554,8,0,14,15,2,0,2,2,13,6,466.9130367,357.2195724
08065,08,065,2010,7287,3884,3403,2423,2049,1461,1354,3695,3192,30,26,66,76,21,31,2,2,70,76,2320,1929,22,13,23,27,14,26,2,2,42,52,1375,1263,8,13,43,49,7,5,0,0,28,24,383.8881525,352.703578
08067,08,067,2010,51431,26190,25241,23053,22265,3137,2976,23683,22652,146,85,1590,1669,138,190,28,30,605,615,21144,20241,111,57,1230,1307,113,169,20,22,435,469,2539,2411,35,28,360,362,25,21,8,8,170,146,343.7162185,404.5529314
08069,08,069,2010,300637,149191,151446,132879,135800,16312,15646,140001,142171,1590,1121,1526,1501,2744,3306,134,136,3196,3211,125676,128456,1362,911,676,620,2613,3191,93,87,2459,2535,14325,13715,228,210,850,881,131,115,41,49,737,676,407.6471633,312.245714
08071,08,071,2010,15421,7892,7529,4661,4416,3231,3113,7189,7010,192,49,227,206,68,51,14,19,202,194,4229,4139,169,31,83,61,51,41,9,12,120,132,2960,2871,23,18,144,145,17,10,5,7,82,62,430.2561172,412.7702201
08073,08,073,2010,5473,3175,2298,2662,2124,513,174,2799,2215,270,11,45,18,24,19,0,1,37,34,2313,2051,262,11,33,9,20,19,0,1,34,33,486,164,8,0,12,9,4,0,0,0,3,1,445.9583742,365.0666917
08075,08,075,2010,22735,12928,9807,10542,8619,2386,1188,11669,9447,834,82,200,97,99,50,6,7,120,124,9420,8374,806,64,131,38,88,40,4,5,93,98,2249,1073,28,18,69,59,11,10,2,2,27,26,458.8106499,315.0472979
